,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,credential,years_experience_aba,age,race_identify,gender,work_setting,client_ages,populations_work,low_low_low_low,low_low_med_low,low_low_high_low,low_low_low_med,low_low_med_med,low_low_high_med,low_low_low_high,low_low_med_high,low_low_high_high,low_med_low_low,low_med_med_low,low_med_high_low,low_med_low_med,low_med_med_med,low_med_high_med,low_med_low_high,low_med_med_high,low_med_high_high,low_high_low_low,low_high_med_low,low_high_high_low,low_high_low_med,low_high_med_med,low_high_high_med,low_high_low_high,low_high_med_high,low_high_high_high,low_low_low_low,med_low_med_low,med_low_high_low,med_low_low_med,med_low_med_med,med_low_high_med,med_low_low_high,med_low_med_high,med_low_high_high,med_med_low_low,med_med_med_low,med_med_high_low,med_med_low_med,med_med_med_med,med_med_high_med,med_med_low_high,med_med_med_high,med_med_high_high,med_high_low_low,med_high_med_low,med_high_high_low,med_high_low_med,med_high_med_med,med_high_high_med,med_high_low_high,med_high_med_high,med_high_high_high,high_low_low_low,high_low_med_low,high_low_high_low,high_low_low_med,high_low_med_med,high_low_high_med,high_low_low_high,high_low_med_high,high_low_high_high,high_med_low_low,high_med_med_low,high_med_high_low,high_med_low_med,high_med_med_med,high_med_high_med,high_med_low_high,high_med_med_high,high_med_high_high,high_high_low_low,high_high_med_low,high_high_high_low,high_high_low_med,high_high_med_med,high_high_high_med,high_high_low_high,high_high_med_high,high_high_high_high,strategy_used,experience_televisibility,experience_clients_harm,source
0,2022-03-01 09:40:41,2022-03-01 09:54:04,0,73.248.42.50,100,803,1,2022-03-01 09:54:05,R_2w6NcI6Jrx51rF1,anonymous,EN,2,23,41,1,2,3,"2,3,4","1,2,3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,I think we need to look at everything we do as telivisible.,"I have had extensive experience. I felt like I needed more context to really answer (e.g., age of the client, is there the ability to try to offer healthier choices, if so and the client still refuses). I ended up landing on even if I did all of things or knew all contexts, client's rights to  food and self-determination that I should allow them that choice.",bx_analyst
1,2022-03-02 12:56:47,2022-03-02 13:11:22,0,98.35.23.249,100,875,1,2022-03-02 13:11:23,R_u4UBRJcTeUC1yPT,anonymous,EN,2,9,34,1,1,5,"1,2,3,4","1,2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,New York Times test,Very experienced in functional analysis of problem behavior and relevant treatments for those behaviors ,bx_analyst
2,2022-03-05 08:16:01,2022-03-05 08:24:01,0,192.210.17.121,100,480,1,2022-03-05 08:24:02,R_25Kjw8pvt3nUO7o,anonymous,EN,1,8,36,1,1,,,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,,New to me with this study. ,"""Allowing"" is a difficult word. But, to the extent that their preferred behaviors are unlikely to cause long-term, substantial harm to themselves or those around them, it seems like it is justifiable. After all, many enjoy drinking poison (i.e., alcohol) on a weekly basis and we generally accept that people have the right to make that choice for themselves. ",bx_analyst
3,2022-03-05 11:38:56,2022-03-05 11:48:36,0,67.255.56.162,100,580,1,2022-03-05 11:48:36,R_cZaE8YMWB2XuGxb,anonymous,EN,2,10,34,1,2,4,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,I frequently hear it in presentations and scholarly discussions,I have a lot of experience in this area working with adults with disabilities who are not under guardianship,bx_analyst
4,2022-03-09 15:09:41,2022-03-09 15:27:07,0,98.2.197.43,100,1046,1,2022-03-09 15:27:08,R_29fSUFKp0RL7akz,anonymous,EN,2,15.5,36,1,2,3,"2,3","1,3",1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,,I’ve heard it in this survey and in a few other professional and academic contexts ,,bx_analyst
5,2022-03-09 17:21:48,2022-03-09 17:47:38,0,23.92.142.43,100,1550,1,2022-03-09 17:47:38,R_3DoKTFiD6KtsZbL,anonymous,EN,2,22,40,1,2,1,"1,2,3,4",1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,,mostly reading from places like Hanley. ,fair amount of experience and decision making practise,bx_analyst
6,2022-03-10 22:41:03,2022-03-10 22:55:59,0,73.70.54.223,100,895,1,2022-03-10 22:56:00,R_1QacpHs99VqxxP8,anonymous,EN,2,20,48,1,2,"1,2","1,2",1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,,2,2,2,2,2,2,,I am very familiar with it.,minimal,bx_analyst
7,2022-06-09 09:34:09,2022-06-09 09:48:28,0,161.69.123.10,100,859,1,2022-06-09 09:48:28,R_27ysNVjgy1CkM84,anonymous,EN,1,30,56,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,yes - nas long as there wasn't a HIGH probability for short-term damage I said yes - i only said no if there was a high prob. of short-term damage,"i'm old school, it doesn't matter to me","not sure the age of the client - but in general, they have a right to  eat what they want as long as it doesn't do harm",bx_analyst
8,2022-06-09 10:06:07,2022-06-09 11:13:05,0,104.137.152.161,100,4018,1,2022-06-09 11:13:06,R_aUX4jDNUAXSAcXD,anonymous,EN,4,3,27,1,2,"1,2",1,"1,2",2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,,2,2,2,"I checked the short-term health affects first to make sure it was lower, then I would check the tele visibility.","If the session was televised, would it look good to the public?","I try to create other options or choices that would serve as the same function, but be enjoyable for the client and safer.",bx_analyst
9,2022-06-12 16:32:54,2022-06-12 16:43:13,0,76.166.237.171,100,618,1,2022-06-12 16:43:13,R_3CDhonKEk4J2PVj,anonymous,EN,4,4,26,1,2,1,"1,2",1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,Looking at what would produce less harm and the most ability of the client to eat what they prefer. ,I have had no experiene with this term. ,Mostly due to allowing clients to engage in SSB when not teaching or allowing natural consequence to occur that do not impost high levels of potentially harmful behavior.,bx_analyst
10,2022-06-18 07:13:15,2022-06-18 07:38:11,0,187.49.200.31,100,1496,1,2022-06-18 07:38:12,R_2ZIg1e89qDgXpJh,anonymous,EN,5,12,34,1,1,"2,3","1,2,3,4",1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Not harm,"We need televisibity, but wothout harm","In my experience, almost all the time the kids do not want harm himself. ",bx_analyst
11,2022-06-18 12:28:22,2022-06-18 12:42:01,0,216.186.204.130,100,819,1,2022-06-18 12:42:02,R_bQT6xj791uVSINj,anonymous,EN,2,14,39,1,1,"2,3","1,2,3,4","1,2,3",1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,Medium generally was the minimal permissable threshold of my choices,Its not part of my regular vernacular ,I have had to define threshold between inconsequential sib and consequential sib,bx_analyst
12,2022-06-18 15:17:20,2022-06-18 15:50:32,0,172.58.139.194,100,1992,1,2022-06-18 15:50:33,R_31jbdooORELfOCE,anonymous,EN,5,5.5,,1,2,1,"1,2",1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,I did. ,Thinking of what would a person from outside of ABA say when seeing a therapist handle a bx,Per my experience we block and redirect  ,bx_analyst
13,2022-06-18 21:35:42,2022-06-18 21:55:37,0,73.181.43.222,100,1195,1,2022-06-18 21:55:37,R_vlACaVZa6Ba7uIp,anonymous,EN,2,10,34,6,2,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"I wouldn't let a client eat a large amount of unhealthy food regardless of the highly contrived probabilistic IVs you've attempted to ""isolate""  (push) to be IVs",Greg Hanley and his groupies have used it to brainwash BA clinicians into accepting low quality pseudo-scientific treatments and justify their prioritization of profits over evidence-based practices,None,bx_analyst
14,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Which best describes your professional credential? - Selected Choice,How many years of clinical experience do you have with ABA?,What is your age?,Choose one or more races that you consider yourself to be: - Selected Choice,What is your gender? - Selected Choice,What type of setting do you currently work in (check all that apply)? - Selected Choice,What are the ages of clients/students for whom you typically provide services (check all that apply)? - Selected Choice,What populations do you typically work with (check all that apply)? - Selected Choice,"A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a high probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a low probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a medium probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a high probability of being televisible and a medium probability of causing short-term harm to the client. 
Do you allow the client to eat the food?","A client would like to eat a large amount of unhealthy food for a meal. Consider the following: 
Allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
Not allowing this client to eat the food has a low probability of being televisible and a high probability of causing short-term harm to the client. 
